,Indices,Amplitude,Prominence,Label
0,235,126.0,254.0,End
1,735,126.0,254.0,End
2,1069,126.0,254.0,End
3,1603,126.0,254.0,End
4,2135,126.0,254.0,End
5,2709,126.0,254.0,End
6,3021,126.0,254.0,End
7,3499,126.0,254.0,End
8,3799,45.440677966101696,0.9322033898305122,Notch
9,4105,22.771186440677965,44.76271186440678,Notch
10,4757,21.661016949152543,40.940677966101696,Notch
11,5101,35.63559322033898,73.49152542372882,Notch
12,5441,15.652542372881356,51.779661016949156,Notch
13,5804,5.5508474576271185,0.016949152542372836,Bend
14,6105,42.00847457627118,75.79661016949152,Notch
15,6421,30.016949152542374,52.38135593220339,Notch
16,6765,17.991525423728813,38.08474576271186,Notch
17,7065,6.271186440677966,0.2118644067796609,Bend
18,7765,10.745762711864407,23.762711864406782,Notch
19,8073,11.779661016949152,25.703389830508474,Notch
20,8441,12.90677966101695,23.872881355932204,Notch
21,8741,9.864406779661017,0.8644067796610173,Bend
22,9109,7.720338983050848,14.508474576271187,Bend
23,9449,6.0,16.186440677966104,Bend
24,50969,21.576271186440678,37.22033898305085,Notch
25,51269,5.372881355932203,0.9152542372881358,Bend
26,54701,11.440677966101696,26.85593220338983,Notch
27,58158,27.52542372881356,0.6525423728813564,Notch
28,58461,125.51694915254237,252.96610169491527,End
29,59005,111.33050847457628,168.92372881355934,End
30,59377,58.3728813559322,98.37288135593221,Notch
31,59677,7.6440677966101696,2.296610169491525,Bend
32,60389,6.313559322033898,10.97457627118644,Bend
33,61041,10.135593220338983,21.75423728813559,Notch
34,61357,9.703389830508474,18.415254237288135,Bend
35,62681,11.40677966101695,24.88135593220339,Notch
36,62981,5.762711864406779,0.22881355932203373,Bend
37,66421,14.915254237288135,27.26271186440678,Notch
